Time,HMR,Current,Voltage,Vibration ,Failure
1/1/2025 0:00,00,2470,605,2.5,N
1/1/2025 0:00,00,2416,600,2.5,N
1/1/2025 0:00,00,2440,604,3.5,N
1/1/2025 0:00,00,2443,607,1.5,N
1/1/2025 0:00,00,2480,600,1.5,N
1/1/2025 0:00,00,2414,606,1.5,N
1/1/2025 0:00,00,2415,592,1.5,N
1/1/2025 0:00,00,2433,604,2.5,N
1/1/2025 0:00,00,2416,593,2.5,N
1/1/2025 0:00,00,2451,604,3.5,N
1/1/2025 0:00,00,2414,597,3.5,N
1/1/2025 0:00,00,2463,590,1.5,N
1/1/2025 0:00,00,2451,605,1.5,N
1/1/2025 0:00,00,2491,609,2.5,N
1/1/2025 0:00,00,2500,603,2.5,N
1/1/2025 0:00,00,2482,608,3.5,N
1/1/2025 0:00,00,2463,604,2.5,N
1/1/2025 0:00,00,2421,597,2.5,N
1/1/2025 0:00,00,2467,590,3.5,N
1/1/2025 0:00,00,2414,602,1.5,N
1/1/2025 0:00,00,2404,590,2.5,N
1/1/2025 0:00,00,2462,599,2.5,N
1/1/2025 0:00,00,2465,606,1.5,N
1/1/2025 0:00,00,2422,591,2.5,N
1/1/2025 0:00,00,2490,610,1.5,N
1/1/2025 0:00,00,2420,593,3.5,N
1/1/2025 0:00,00,2459,606,1.5,N
1/1/2025 0:00,00,2492,599,1.5,N
1/1/2025 0:00,00,2404,608,3.5,N
1/1/2025 0:00,00,2434,609,2.5,N
1/1/2025 0:00,00,2414,592,3.5,N
1/1/2025 0:00,00,2490,603,3.5,N
1/1/2025 0:00,00,2495,609,2.5,N
1/1/2025 0:00,00,2420,604,1.5,N
1/1/2025 0:00,00,2487,605,2.5,N
1/1/2025 0:00,00,2482,608,1.5,N
1/1/2025 0:00,00,2437,592,3.5,N
1/1/2025 0:00,00,2447,609,1.5,N
1/1/2025 0:00,00,2439,607,2.5,N
1/1/2025 0:00,00,2418,597,3.5,N
1/1/2025 0:00,00,2442,610,1.5,N
1/1/2025 0:00,00,2491,601,2.5,N
1/1/2025 0:00,00,2478,599,3.5,N
1/1/2025 0:00,00,2474,606,1.5,N
1/1/2025 0:00,00,2459,593,3.5,N
1/1/2025 0:00,00,2456,597,1.5,N
1/1/2025 0:00,00,2462,603,3.5,N
1/1/2025 0:00,00,2414,592,1.5,N
1/1/2025 0:00,00,2431,606,1.5,N
1/1/2025 0:00,00,2495,604,3.5,N
1/1/2025 0:00,00,2447,601,1.5,N
1/1/2025 0:00,00,2478,600,2.5,N
1/1/2025 0:00,00,2405,608,1.5,N
1/1/2025 0:00,00,2435,595,1.5,N
1/1/2025 0:00,00,2424,610,1.5,N
1/1/2025 0:00,00,2495,609,1.5,N
1/1/2025 0:00,00,2430,592,2.5,N
1/1/2025 0:00,00,2448,601,1.5,N
1/1/2025 0:00,00,2425,599,3.5,N
1/1/2025 0:00,00,2481,603,3.5,N
1/1/2025 0:01,00,2419,596,2.5,N
1/1/2025 0:01,00,2425,593,2.5,N
1/1/2025 0:01,00,2440,593,3.5,N
1/1/2025 0:01,00,2471,593,1.5,N
1/1/2025 0:01,00,2456,599,2.5,N
1/1/2025 0:01,00,2481,605,1.5,N
1/1/2025 0:01,00,2456,600,2.5,N
1/1/2025 0:01,00,2454,596,1.5,N
1/1/2025 0:01,00,2499,598,1.5,N
1/1/2025 0:01,00,2493,590,2.5,N
1/1/2025 0:01,00,2481,592,2.5,N
1/1/2025 0:01,00,2412,609,1.5,N
1/1/2025 0:01,00,2453,591,1.5,N
1/1/2025 0:01,00,2460,594,1.5,N
1/1/2025 0:01,00,2416,590,2.5,N
1/1/2025 0:01,00,2416,594,1.5,N
1/1/2025 0:01,00,2430,601,1.5,N
1/1/2025 0:01,00,2455,597,3.5,N
1/1/2025 0:01,00,2436,600,2.5,N
1/1/2025 0:01,00,2444,601,1.5,N
1/1/2025 0:01,00,2442,608,3.5,N
1/1/2025 0:01,00,2478,603,2.5,N
1/1/2025 0:01,00,2417,610,3.5,N
1/1/2025 0:01,00,2420,607,1.5,N
1/1/2025 0:01,00,2466,608,3.5,N
1/1/2025 0:01,00,2426,607,1.5,N
1/1/2025 0:01,00,2480,606,2.5,N
1/1/2025 0:01,00,2460,603,3.5,N
1/1/2025 0:01,00,2480,607,2.5,N
1/1/2025 0:01,00,2407,602,2.5,N
1/1/2025 0:01,00,2464,596,1.5,N
1/1/2025 0:01,00,2414,599,2.5,N
1/1/2025 0:01,00,2414,604,3.5,N
1/1/2025 0:01,00,2465,591,1.5,N
1/1/2025 0:01,00,2434,609,1.5,N
1/1/2025 0:01,00,2486,605,2.5,N
1/1/2025 0:01,00,2477,594,2.5,N
1/1/2025 0:01,00,2405,592,2.5,N
1/1/2025 0:01,00,2460,602,3.5,N
1/1/2025 0:01,00,2425,592,3.5,N
1/1/2025 0:01,00,2494,602,1.5,N
1/1/2025 0:01,00,2471,606,2.5,N
1/1/2025 0:01,00,2450,610,1.5,N
1/1/2025 0:01,00,2405,610,2.5,N
1/1/2025 0:01,00,2442,604,2.5,N
1/1/2025 0:01,00,2409,593,2.5,N
1/1/2025 0:01,00,2400,600,2.5,N
1/1/2025 0:01,00,2454,598,1.5,N
1/1/2025 0:01,00,2409,593,2.5,N
1/1/2025 0:01,00,2477,600,3.5,N
1/1/2025 0:01,00,2426,607,2.5,N
1/1/2025 0:01,00,2418,598,1.5,N
1/1/2025 0:01,00,2494,609,1.5,N
1/1/2025 0:01,00,2423,596,3.5,N
1/1/2025 0:01,00,2425,592,2.5,N
1/1/2025 0:01,00,2494,604,3.5,N
1/1/2025 0:01,00,2497,599,2.5,N
1/1/2025 0:01,00,2440,595,2.5,N
1/1/2025 0:01,00,2471,601,1.5,N
1/1/2025 0:01,00,2473,599,1.5,N
1/1/2025 0:02,00,2492,597,1.5,N
1/1/2025 0:02,00,2428,593,1.5,N
1/1/2025 0:02,00,2435,597,1.5,N
1/1/2025 0:02,00,2474,595,3.5,N
1/1/2025 0:02,00,2431,590,1.5,N
1/1/2025 0:02,00,2476,609,1.5,N
1/1/2025 0:02,00,2418,603,1.5,N
1/1/2025 0:02,00,2413,599,3.5,N
1/1/2025 0:02,00,2423,591,2.5,N
1/1/2025 0:02,00,2448,610,2.5,N
1/1/2025 0:02,00,2496,591,1.5,N
1/1/2025 0:02,00,2459,607,1.5,N
1/1/2025 0:02,00,2432,597,3.5,N
1/1/2025 0:02,00,2469,604,2.5,N
1/1/2025 0:02,00,2488,602,2.5,N
1/1/2025 0:02,00,2470,601,1.5,N
1/1/2025 0:02,00,2465,598,3.5,N
1/1/2025 0:02,00,2407,605,3.5,N
1/1/2025 0:02,00,2474,604,3.5,N
1/1/2025 0:02,00,2410,605,2.5,N
1/1/2025 0:02,00,2423,591,2.5,N
1/1/2025 0:02,00,2413,609,1.5,N
1/1/2025 0:02,00,2478,597,1.5,N
1/1/2025 0:02,00,2489,604,1.5,N
1/1/2025 0:02,00,2420,597,3.5,N
1/1/2025 0:02,00,2476,592,1.5,N
1/1/2025 0:02,00,2422,592,1.5,N
1/1/2025 0:02,00,2457,594,1.5,N
1/1/2025 0:02,00,2411,599,2.5,N
1/1/2025 0:02,00,2475,609,3.5,N
1/1/2025 0:02,00,2495,607,3.5,N
1/1/2025 0:02,00,2495,607,3.5,N
1/1/2025 0:02,00,2475,599,3.5,N
1/1/2025 0:02,00,2468,601,2.5,N
1/1/2025 0:02,00,2416,598,2.5,N
1/1/2025 0:02,00,2489,600,2.5,N
1/1/2025 0:02,00,2430,595,3.5,N
1/1/2025 0:02,00,2449,610,3.5,N
1/1/2025 0:02,00,2476,609,1.5,N
1/1/2025 0:02,00,2481,607,3.5,N
1/1/2025 0:02,00,2500,606,2.5,N
1/1/2025 0:02,00,2442,592,3.5,N
1/1/2025 0:02,00,2500,596,3.5,N
1/1/2025 0:02,00,2403,608,1.5,N
1/1/2025 0:02,00,2491,601,1.5,N
1/1/2025 0:02,00,2484,594,1.5,N
1/1/2025 0:02,00,2407,595,1.5,N
1/1/2025 0:02,00,2474,608,2.5,N
1/1/2025 0:02,00,2427,610,3.5,N
1/1/2025 0:02,00,2500,591,3.5,N
1/1/2025 0:02,00,2457,598,1.5,N
1/1/2025 0:02,00,2470,608,2.5,N
1/1/2025 0:02,00,2429,593,1.5,N
1/1/2025 0:02,00,2407,610,1.5,N
1/1/2025 0:02,00,2428,599,2.5,N
1/1/2025 0:02,00,2457,593,3.5,N
1/1/2025 0:02,00,2460,597,1.5,N
1/1/2025 0:02,00,2460,595,2.5,N
1/1/2025 0:02,00,2488,590,2.5,N
1/1/2025 0:02,00,2443,603,2.5,N
1/1/2025 0:03,00,2413,609,3.5,N
1/1/2025 0:03,00,2406,610,2.5,N
1/1/2025 0:03,00,2442,594,3.5,N
1/1/2025 0:03,00,2482,607,2.5,N
1/1/2025 0:03,00,2413,592,1.5,N
1/1/2025 0:03,00,2428,606,3.5,N
1/1/2025 0:03,00,2474,610,3.5,N
1/1/2025 0:03,00,2447,608,3.5,N
1/1/2025 0:03,00,2475,598,3.5,N
1/1/2025 0:03,00,2412,591,3.5,N
1/1/2025 0:03,00,2440,598,2.5,N
1/1/2025 0:03,00,2451,594,2.5,N
1/1/2025 0:03,00,2439,590,1.5,N
1/1/2025 0:03,00,2497,595,1.5,N
1/1/2025 0:03,00,2464,603,1.5,N
1/1/2025 0:03,00,2460,603,2.5,N
1/1/2025 0:03,00,2400,602,2.5,N
1/1/2025 0:03,00,2428,606,2.5,N
1/1/2025 0:03,00,2461,600,1.5,N
1/1/2025 0:03,00,2414,602,2.5,N
1/1/2025 0:03,00,2443,593,3.5,N
1/1/2025 0:03,00,2465,607,1.5,N
1/1/2025 0:03,00,2449,608,1.5,N
1/1/2025 0:03,00,2475,593,3.5,N
1/1/2025 0:03,00,2484,594,3.5,N
1/1/2025 0:03,00,2482,596,1.5,N
1/1/2025 0:03,00,2465,610,2.5,N
