Time,HMR,Current,Voltage,Vibration,Temp,Failure
12:00:00 AM,20000,2495,598,4,33,N
12:00:01 AM,20000,2477,601,3,41,N
12:00:02 AM,20000,2453,602,4,48,N
12:00:03 AM,20000,2475,595,2,40,N
12:00:04 AM,20000,2461,603,3,25,N
12:00:05 AM,20000,2457,598,2,46,N
12:00:06 AM,20000,2477,603,5,41,N
12:00:07 AM,20000,2466,603,5,47,N
12:00:08 AM,20000,2475,598,5,28,N
12:00:09 AM,20000,2455,601,3,39,N
12:00:10 AM,20000,2472,601,2,33,N
12:00:11 AM,20000,2452,603,2,45,N
12:00:12 AM,20000,2476,602,2,37,N
12:00:13 AM,20000,2462,597,4,25,N
12:00:14 AM,20000,2470,599,4,35,N
12:00:15 AM,20000,2469,595,5,28,N
12:00:16 AM,20000,2492,598,4,32,N
12:00:17 AM,20000,2463,599,5,39,N
12:00:18 AM,20000,2492,601,4,30,N
12:00:19 AM,20000,2464,595,3,37,N
12:00:20 AM,20000,2486,601,4,40,N
12:00:21 AM,20000,2455,596,3,37,N
12:00:22 AM,20000,2492,599,3,46,N
12:00:23 AM,20000,2475,603,5,30,N
12:00:24 AM,20000,2486,601,2,44,N
12:00:25 AM,20000,2487,597,4,43,N
12:00:26 AM,20000,2479,598,2,36,N
12:00:27 AM,20000,2496,600,5,46,N
12:00:28 AM,20000,2478,603,3,42,N
12:00:29 AM,20000,2483,602,2,29,N
12:00:30 AM,20000,2481,598,4,39,N
12:00:31 AM,20000,2488,601,5,46,N
12:00:32 AM,20000,2490,598,4,41,N
12:00:33 AM,20000,2468,599,4,41,N
12:00:34 AM,20000,2476,596,4,41,N
12:00:35 AM,20000,2452,596,3,33,N
12:00:36 AM,20000,2494,600,4,34,N
12:00:37 AM,20000,2466,602,2,47,N
12:00:38 AM,20000,2490,598,4,25,N
12:00:39 AM,20000,2492,602,3,41,N
12:00:40 AM,20000,2484,600,4,47,N
12:00:41 AM,20000,2460,597,5,29,N
12:00:42 AM,20000,2454,600,5,41,N
12:00:43 AM,20000,2473,599,3,34,N
12:00:44 AM,20000,2493,598,2,31,N
12:00:45 AM,20000,2498,598,4,38,N
12:00:46 AM,20000,2453,596,4,41,N
12:00:47 AM,20000,2486,599,5,43,N
12:00:48 AM,20000,2486,599,4,25,N
12:00:49 AM,20000,2459,598,2,50,N
12:00:50 AM,20000,2486,603,2,37,N
12:00:51 AM,20000,2495,599,3,41,N
12:00:52 AM,20000,2481,598,3,37,N
12:00:53 AM,20000,2452,601,5,48,N
12:00:54 AM,20000,2498,602,5,25,N
12:00:55 AM,20000,2490,599,3,49,N
12:00:56 AM,20000,2489,598,5,36,N
12:00:57 AM,20000,2494,596,3,46,N
12:00:58 AM,20000,2472,595,4,28,N
12:00:59 AM,20000,2463,600,3,46,N
12:01:00 AM,20000,2461,596,2,47,N
12:01:01 AM,20000,2492,596,4,44,N
12:01:02 AM,20000,2460,595,4,42,N
12:01:03 AM,20000,2492,603,2,40,N
12:01:04 AM,20000,2480,596,5,43,N
12:01:05 AM,20000,2478,601,2,39,N
12:01:06 AM,20000,2499,595,3,38,N
12:01:07 AM,20000,2451,601,4,40,N
12:01:08 AM,20000,2463,603,4,38,N
12:01:09 AM,20000,2499,601,4,35,N
12:01:10 AM,20000,2494,603,4,42,N
12:01:11 AM,20000,2499,600,2,33,N
12:01:12 AM,20000,2470,599,3,36,N
12:01:13 AM,20000,2453,596,2,50,N
12:01:14 AM,20000,2471,597,3,37,N
12:01:15 AM,20000,2489,597,3,38,N
12:01:16 AM,20000,2460,597,3,40,N
12:01:17 AM,20000,2450,597,4,41,N
12:01:18 AM,20000,2498,597,5,42,N
12:01:19 AM,20000,2467,602,3,45,N
12:01:20 AM,20000,2458,600,2,43,N
12:01:21 AM,20000,2468,599,5,26,N
12:01:22 AM,20000,2491,598,5,43,N
12:01:23 AM,20000,2494,598,2,44,N
12:01:24 AM,20000,2477,598,3,47,N
12:01:25 AM,20000,2491,596,3,38,N
12:01:26 AM,20000,2480,597,5,27,N
12:01:27 AM,20000,2476,598,3,25,N
12:01:28 AM,20000,2489,598,3,32,N
12:01:29 AM,20000,2467,597,2,29,N
12:01:30 AM,20000,2469,596,3,28,N
12:01:31 AM,20000,2463,602,3,48,N
12:01:32 AM,20000,2475,600,2,44,N
12:01:33 AM,20000,2476,599,3,29,N
12:01:34 AM,20000,2461,600,2,39,N
12:01:35 AM,20000,2466,603,3,38,N
12:01:36 AM,20000,2495,596,5,45,N
12:01:37 AM,20000,2483,597,4,32,N
12:01:38 AM,20000,2467,600,5,49,N
12:01:39 AM,20000,2496,602,3,48,N
12:01:40 AM,20000,2497,602,4,50,N
12:01:41 AM,20000,2463,598,5,49,N
12:01:42 AM,20000,2458,600,5,34,N
12:01:43 AM,20000,2478,600,5,45,N
12:01:44 AM,20000,2450,597,4,47,N
12:01:45 AM,20000,2488,603,3,25,N
12:01:46 AM,20000,2485,598,3,26,N
12:01:47 AM,20000,2480,602,2,33,N
12:01:48 AM,20000,2451,597,2,33,N
12:01:49 AM,20000,2472,596,2,45,N
12:01:50 AM,20000,2461,600,5,47,N
12:01:51 AM,20000,2458,597,4,29,N
12:01:52 AM,20000,2483,595,2,29,N
12:01:53 AM,20000,2496,599,3,43,N
12:01:54 AM,20000,2452,602,2,31,N
12:01:55 AM,20000,2477,599,2,31,N
12:01:56 AM,20000,2480,601,3,31,N
12:01:57 AM,20000,2458,599,2,45,N
12:01:58 AM,20000,2488,599,5,30,N
12:01:59 AM,20000,2487,596,4,29,N
12:02:00 AM,20000,2470,598,5,35,N
12:02:01 AM,20000,2484,601,5,26,N
12:02:02 AM,20000,2477,597,3,30,N
12:02:03 AM,20000,2466,600,4,34,N
12:02:04 AM,20000,2492,598,4,31,N
12:02:05 AM,20000,2495,599,3,34,N
12:02:06 AM,20000,2468,596,2,25,N
12:02:07 AM,20000,2494,595,2,37,N
12:02:08 AM,20000,2473,603,4,30,N
12:02:09 AM,20000,2468,596,3,38,N
12:02:10 AM,20000,2456,598,2,34,N
12:02:11 AM,20000,2452,595,5,41,N
12:02:12 AM,20000,2495,595,5,37,N
12:02:13 AM,20000,2480,600,2,35,N
12:02:14 AM,20000,2455,599,2,25,N
12:02:15 AM,20000,2454,598,5,25,N
12:02:16 AM,20000,2487,595,5,45,N
12:02:17 AM,20000,2472,603,5,49,N
12:02:18 AM,20000,2463,596,2,44,N
12:02:19 AM,20000,2478,599,2,48,N
12:02:20 AM,20000,2478,599,4,27,N
12:02:21 AM,20000,2453,600,4,32,N
12:02:22 AM,20000,2475,601,5,45,N
12:02:23 AM,20000,2470,598,5,48,N
12:02:24 AM,20000,2491,603,4,28,N
12:02:25 AM,20000,2465,600,3,40,N
12:02:26 AM,20000,2450,602,3,45,N
12:02:27 AM,20000,2489,595,4,36,N
12:02:28 AM,20000,2475,603,4,28,N
12:02:29 AM,20000,2475,603,2,39,N
12:02:30 AM,20000,2470,602,3,41,N
